trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",20,0,-68.44679728540397,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,0,-121.90557244333728,"{0: 12, 1: 1, 2: 5, 3: 0, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",35,0,-136.77388361378212,"{0: 22, 1: 5, 2: 6, 3: 0, 4: 2}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",30,0,-236.63267227509607,"{0: 13, 1: 3, 2: 11, 3: 0, 4: 3}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,0,-82.07660824821389,"{0: 10, 1: 7, 2: 2, 3: 0, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,0,-60.804366927221864,"{0: 11, 1: 4, 2: 5, 3: 0, 4: 0}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,0,-47.22545204158782,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 0}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",20,0,-109.7826137310024,"{0: 11, 1: 1, 2: 6, 3: 1, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",20,0,-104.57762525113276,"{0: 12, 1: 4, 2: 2, 3: 0, 4: 2}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",20,0,-74.60108241212826,"{0: 12, 1: 4, 2: 3, 3: 0, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",25,0,-89.05907203292631,"{0: 18, 1: 1, 2: 4, 3: 1, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",20,0,-221.7423767630876,"{0: 8, 1: 2, 2: 4, 3: 3, 4: 3}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",25,0,-60.42952636914918,"{0: 17, 1: 2, 2: 5, 3: 1, 4: 0}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",30,0,-140.07841247041287,"{0: 20, 1: 1, 2: 6, 3: 1, 4: 2}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",35,0,-191.92357002066174,"{0: 25, 1: 2, 2: 3, 3: 1, 4: 4}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",25,0,-0.1457182765914613,"{0: 22, 1: 0, 2: 3, 3: 0, 4: 0}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",20,0,-41.54138514461161,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 1}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",20,13,-3.558192220196764,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",30,0,-56.31779411984012,"{0: 25, 1: 0, 2: 3, 3: 1, 4: 1}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",30,5,-26.447099890045862,"{0: 20, 1: 2, 2: 2, 3: 1, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",30,0,-102.99412444870858,"{0: 20, 1: 3, 2: 5, 3: 1, 4: 1}",0
2,True,"{'a': 0, 'e': 0}",20,0,-64.23669525506874,"{0: 12, 1: 0, 2: 8, 3: 0, 4: 0}",0
3,True,"{'a': 0, 'e': 0}",25,0,-58.80653635139036,"{0: 17, 1: 1, 2: 6, 3: 1, 4: 0}",0
4,True,"{'a': 0, 'e': 0}",30,7,-44.94673919894091,"{0: 18, 1: 3, 2: 1, 3: 0, 4: 1}",1
5,True,"{'a': 0, 'e': 0}",25,0,-112.46505069498744,"{0: 20, 1: 0, 2: 2, 3: 0, 4: 3}",0
6,True,"{'a': 0, 'e': 0}",25,3,-39.28727021927279,"{0: 18, 1: 1, 2: 2, 3: 0, 4: 1}",1
7,True,"{'a': 0, 'e': 0}",25,3,-107.82763767459045,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 2}",1
8,True,"{'a': 0, 'e': 0}",30,4,-29.09170103912108,"{0: 21, 1: 1, 2: 3, 3: 1, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",20,0,-31.37776897141147,"{0: 17, 1: 0, 2: 1, 3: 2, 4: 0}",0
10,True,"{'a': 0, 'e': 0}",20,0,-81.32380983624635,"{0: 14, 1: 0, 2: 4, 3: 1, 4: 1}",0
