trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-131.31244171336422,"{0: 14, 1: 1, 2: 2, 3: 0, 4: 3}",0
2,False,"{'a': 0.5, 'e': 0.999000499833375}",20,0,-169.54657307177592,"{0: 9, 1: 0, 2: 8, 3: 1, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.9980019986673331}",20,0,-55.16964532852141,"{0: 13, 1: 5, 2: 1, 3: 0, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.997004495503373}",20,0,-54.86814124311468,"{0: 12, 1: 2, 2: 6, 3: 0, 4: 0}",0
5,False,"{'a': 0.5, 'e': 0.9960079893439915}",30,0,-129.50917265191626,"{0: 17, 1: 5, 2: 6, 3: 1, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.9950124791926823}",20,0,-53.3696667589639,"{0: 12, 1: 3, 2: 5, 3: 0, 4: 0}",0
7,False,"{'a': 0.5, 'e': 0.9940179640539353}",30,0,-293.97256651084774,"{0: 10, 1: 6, 2: 9, 3: 1, 4: 4}",0
8,False,"{'a': 0.5, 'e': 0.9930244429332351}",25,0,-78.54836938912753,"{0: 17, 1: 2, 2: 5, 3: 0, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.9920319148370607}",30,0,-294.7475835214355,"{0: 12, 1: 5, 2: 8, 3: 0, 4: 5}",0
10,False,"{'a': 0.5, 'e': 0.9910403787728836}",30,0,-122.33283789425725,"{0: 18, 1: 2, 2: 9, 3: 0, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.9900498337491681}",35,0,-147.9848483750838,"{0: 23, 1: 2, 2: 7, 3: 1, 4: 2}",0
12,False,"{'a': 0.5, 'e': 0.9890602787753687}",20,0,-73.15583600297066,"{0: 10, 1: 5, 2: 4, 3: 1, 4: 0}",0
13,False,"{'a': 0.5, 'e': 0.9880717128619305}",20,0,-113.62046173763405,"{0: 11, 1: 4, 2: 3, 3: 0, 4: 2}",0
14,False,"{'a': 0.5, 'e': 0.9870841350202876}",30,0,-317.1084965221537,"{0: 15, 1: 3, 2: 5, 3: 1, 4: 6}",0
15,False,"{'a': 0.5, 'e': 0.9860975442628619}",20,0,-44.30586226064264,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 0}",0
16,False,"{'a': 0.5, 'e': 0.9851119396030626}",35,5,-157.94809831899448,"{0: 17, 1: 4, 2: 6, 3: 1, 4: 2}",1
17,False,"{'a': 0.5, 'e': 0.9841273200552851}",20,0,-131.97964411449547,"{0: 12, 1: 1, 2: 4, 3: 1, 4: 2}",0
18,False,"{'a': 0.5, 'e': 0.9831436846349096}",20,0,-52.82504764872635,"{0: 13, 1: 0, 2: 7, 3: 0, 4: 0}",0
19,False,"{'a': 0.5, 'e': 0.9821610323583008}",20,8,-87.43008983273238,"{0: 7, 1: 3, 2: 0, 3: 0, 4: 2}",1
20,False,"{'a': 0.5, 'e': 0.981179362242806}",30,0,-145.05636486901793,"{0: 17, 1: 3, 2: 7, 3: 2, 4: 1}",0
21,False,"{'a': 0.5, 'e': 0.9801986733067553}",20,0,-50.07617111866898,"{0: 12, 1: 4, 2: 4, 3: 0, 4: 0}",0
22,False,"{'a': 0.5, 'e': 0.9792189645694596}",20,6,-42.183421737893546,"{0: 7, 1: 3, 2: 4, 3: 0, 4: 0}",1
23,False,"{'a': 0.5, 'e': 0.97824023505121}",20,0,-67.64095109769961,"{0: 12, 1: 2, 2: 5, 3: 1, 4: 0}",0
24,False,"{'a': 0.5, 'e': 0.9772624837732771}",30,0,-153.74856820643942,"{0: 19, 1: 6, 2: 2, 3: 0, 4: 3}",0
25,False,"{'a': 0.5, 'e': 0.9762857097579093}",20,0,-112.53966464322079,"{0: 10, 1: 3, 2: 5, 3: 1, 4: 1}",0
26,False,"{'a': 0.5, 'e': 0.9753099120283326}",20,0,-121.40889621069282,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 3}",0
27,False,"{'a': 0.5, 'e': 0.9743350896087494}",20,0,-126.51853256277259,"{0: 14, 1: 2, 2: 1, 3: 0, 4: 3}",0
28,False,"{'a': 0.5, 'e': 0.9733612415243368}",25,0,-152.55476345098742,"{0: 15, 1: 2, 2: 4, 3: 2, 4: 2}",0
29,False,"{'a': 0.5, 'e': 0.9723883668012469}",20,12,-5.288444697360423,"{0: 6, 1: 1, 2: 1, 3: 0, 4: 0}",1
30,False,"{'a': 0.5, 'e': 0.9714164644666048}",20,2,-52.37255218452246,"{0: 13, 1: 2, 2: 2, 3: 0, 4: 1}",1
31,False,"{'a': 0.5, 'e': 0.9704455335485082}",20,0,-121.07966659961433,"{0: 9, 1: 4, 2: 5, 3: 1, 4: 1}",0
32,False,"{'a': 0.5, 'e': 0.9694755730760259}",30,0,-145.33761587873067,"{0: 19, 1: 5, 2: 2, 3: 2, 4: 2}",0
