trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",20,0,-48.415876946086286,"{0: 15, 1: 3, 2: 1, 3: 0, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,0,-127.23700631494505,"{0: 9, 1: 2, 2: 7, 3: 1, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",25,0,-136.37004619892744,"{0: 14, 1: 4, 2: 5, 3: 0, 4: 2}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",30,2,-132.82967782217057,"{0: 18, 1: 3, 2: 4, 3: 1, 4: 2}",1
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",25,0,-55.70094241716896,"{0: 17, 1: 4, 2: 3, 3: 1, 4: 0}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",25,0,4.601618234334376,"{0: 22, 1: 2, 2: 1, 3: 0, 4: 0}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",25,0,-169.7433003037112,"{0: 13, 1: 3, 2: 5, 3: 2, 4: 2}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",25,0,-219.79384653697286,"{0: 14, 1: 1, 2: 5, 3: 1, 4: 4}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",20,0,-28.546670263222623,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",20,0,-92.23296896257494,"{0: 9, 1: 7, 2: 3, 3: 0, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",20,0,-125.29961805821986,"{0: 6, 1: 7, 2: 6, 3: 0, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",20,0,-156.41109473997454,"{0: 11, 1: 2, 2: 4, 3: 0, 4: 3}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",25,0,-186.99223830147866,"{0: 16, 1: 1, 2: 4, 3: 0, 4: 4}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",20,0,-189.20232325075858,"{0: 8, 1: 3, 2: 6, 3: 0, 4: 3}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",20,0,-56.137802808600725,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",30,0,-203.14918624317565,"{0: 16, 1: 2, 2: 9, 3: 0, 4: 3}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",30,0,-206.56233788140122,"{0: 20, 1: 3, 2: 1, 3: 2, 4: 4}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",35,0,-258.64569846685384,"{0: 17, 1: 6, 2: 8, 3: 0, 4: 4}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",25,0,-195.91948757481876,"{0: 12, 1: 2, 2: 8, 3: 0, 4: 3}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,0,-162.73315369206355,"{0: 11, 1: 1, 2: 5, 3: 0, 4: 3}",0
1,True,"{'a': 0, 'e': 0}",25,0,-65.61095204052738,"{0: 19, 1: 1, 2: 3, 3: 1, 4: 1}",0
2,True,"{'a': 0, 'e': 0}",25,0,-171.00411348622896,"{0: 14, 1: 3, 2: 5, 3: 0, 4: 3}",0
3,True,"{'a': 0, 'e': 0}",25,0,-34.17233177377686,"{0: 20, 1: 2, 2: 2, 3: 1, 4: 0}",0
4,True,"{'a': 0, 'e': 0}",25,0,-156.71770482011186,"{0: 14, 1: 2, 2: 6, 3: 1, 4: 2}",0
5,True,"{'a': 0, 'e': 0}",20,0,-79.94727241558286,"{0: 11, 1: 6, 2: 2, 3: 0, 4: 1}",0
6,True,"{'a': 0, 'e': 0}",30,0,-126.7822492849081,"{0: 17, 1: 5, 2: 6, 3: 1, 4: 1}",0
7,True,"{'a': 0, 'e': 0}",30,0,-54.19876531869754,"{0: 21, 1: 6, 2: 2, 3: 1, 4: 0}",0
8,True,"{'a': 0, 'e': 0}",20,0,-82.36375062453956,"{0: 12, 1: 4, 2: 3, 3: 0, 4: 1}",0
9,True,"{'a': 0, 'e': 0}",30,0,-258.5939020616309,"{0: 12, 1: 8, 2: 5, 3: 1, 4: 4}",0
10,True,"{'a': 0, 'e': 0}",25,0,-225.6214683967662,"{0: 12, 1: 2, 2: 7, 3: 0, 4: 4}",0
